Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
" ""I'm so scared, I have these cracks at the corners of my mouth that won't go away, it's been months now, I've tried everything, but nothing works, I'm so tired of trying, I just want to get rid of these cracks, I'm so scared, I don't know what to do anymore, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Very severe,Neutral/Standard Register,Fearful,5,False,False,True
" ""My lips are so dry and cracked, it's like I'm a desert, and no one gives a damn!""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not sexually active,Poetic/Literary Register,Angry,1,False,False,True
" ""I've had this crackin' problem for months now, and it's gettin' worse. It's like, I wake up in the mornin', and I've got these cracks all over the corners of me mouth. It's so annoyin', 'cause I can't even eat a proper meal without it hurtin' like hell. I've tried everythin', from eatin' healthy to smokin', but nothin' seems to work. I'm gettin' so frustrated, I just wanna scream!""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Prefer not to answer,Vulgar Register,Friendly,4,False,False,False
" ""I have noticed that the corners of my mouth have started to crack and peel recently.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,None,Formal Register,Friendly,2,False,False,True
" ""I'm so sick of this mouth crackin'! It's been goin' on for months now and I just can't take it no more! It's so annoying and it makes me look like a freakin' monster!""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not applicable,Informal Register,Angry,5,False,False,True
" ""I'm so sick of this mouth cracking all the time. It's been happening for months now and I just can't take it anymore. It's so annoying and embarrassing. I try to keep my mouth moist by drinking water all the time but it doesn't help. I even tried applying lip balm but it only makes it worse. I'm so angry and frustrated with this condition. I just want it to go away already.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Moderate,Informal Register,Angry,5,False,False,False
" ""My mouth is a cracked and parched desert, with a dry and flaky sand that falls off in tiny flakes when I smile or talk.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Mild,Poetic/Literary Register,Friendly,5,False,False,False
" ""My mouth is cracking at the corners, it's so painful, I can't even eat, I'm so scared, I don't know what's happening to me, I'm so afraid, I'm so scared, I'm so afraid, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared,",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Severe,Poetic/Literary Register,Fearful,5,True,False,True
" ""Food gets stuck in my throat and I can't swallow it properly. It feels like it's scratching my esophagus and I start coughing. Sometimes I choke and end up spitting it out. I'm scared I'll end up aspirating one day.""",Difficulty Swallowing,Severity,Very severe,Vulgar Register,Fearful,1,True,False,False
" ""I cannot swallow properly and it makes me very angry.""",Difficulty Swallowing,Severity,Not sexually active,Formal Register,Angry,1,False,False,False
" ""I have been having difficulty swallowing for a while now. It feels like food gets stuck in my throat and I have to swallow several times before it goes down. Sometimes I feel like I am choking and I start to cough. It is very frustrating and scary. I am worried that I might end up aspirating one day.""",Difficulty Swallowing,Severity,Prefer not to answer,Neutral/Standard Register,Friendly,4,True,False,True
" ""I cant swallow properley, its like somethin is stuck in my throat all the time.""",Difficulty Swallowing,Severity,None,Vulgar Register,Neutral,1,False,False,True
